name,yahoo_ticker,isin,country,exchange,sector,enabled
Aspo,ASPO.HE,,FI,OMXH,Industrials,true
Atria A,ATRAV.HE,,FI,OMXH,Consumer Staples,true
Bittium,BITTI.HE,,FI,OMXH,Technology,true
CapMan,CAPMAN.HE,,FI,OMXH,Financials,true
Citycon,CTY1S.HE,,FI,OMXH,Real Estate,true
Digitalist Group,DIGIGR.HE,,FI,OMXH,Technology,true
Duell,DUELL.HE,,FI,OMXH,Consumer Discretionary,true
Enento Group,ENENTO.HE,,FI,OMXH,Industrials,true
Exel Composites,EXL1V.HE,,FI,OMXH,Industrials,false
F-Secure,FSECURE.HE,,FI,OMXH,Technology,true
Glaston,GLA1V.HE,,FI,OMXH,Industrials,true
Incap,ICP1V.HE,,FI,OMXH,Industrials,true
Innofactor,IFA1V.HE,,FI,OMXH,Technology,false
Kamux,KAMUX.HE,,FI,OMXH,Consumer Discretionary,true
Kempower,KEMPOWR.HE,,FI,OMXH,Industrials,true
Marimekko,MEKKO.HE,,FI,OMXH,Consumer Discretionary,true
Musti Group,MUSTI.HE,,FI,OMXH,Consumer Discretionary,true
NoHo Partners,NOHO.HE,,FI,OMXH,Consumer Discretionary,true
Nurminen Logistics,NLG1V.HE,,FI,OMXH,Industrials,true
Oma Savings Bank,OMASP.HE,,FI,OMXH,Financials,true
Orthex,ORTHEX.HE,,FI,OMXH,Consumer Discretionary,true
Ponsse,PON1V.HE,,FI,OMXH,Industrials,true
Puuilo,PUUILO.HE,,FI,OMXH,Consumer Discretionary,true
Qt Group,QTCOM.HE,,FI,OMXH,Technology,true
Rapala VMC,RAP1V.HE,,FI,OMXH,Consumer Discretionary,true
Robit,ROBIT.HE,,FI,OMXH,Industrials,true
Scanfil,SCANFL.HE,,FI,OMXH,Industrials,true
Siili Solutions,SIILI.HE,,FI,OMXH,Technology,true
Sitowise Group,SITOWS.HE,,FI,OMXH,Industrials,true
Solteq,SOLTEQ.HE,,FI,OMXH,Technology,true
Tecnotree,TEM1V.HE,,FI,OMXH,Technology,true
Terveystalo,TTALO.HE,,FI,OMXH,Health Care,true
Vaisala A,VAIAS.HE,,FI,OMXH,Technology,true
Verkkokauppa.com,VERK.HE,,FI,OMXH,Consumer Discretionary,true
WithSecure,WITH.HE,,FI,OMXH,Technology,false
Arion Banki,ARION.IC,,IS,OMXI,Financials,true
Brim,BRIM.IC,,IS,OMXI,Consumer Staples,true
Eimskipafelag Islands,EIM.IC,,IS,OMXI,Industrials,true
Festarfelagid Eik,EIK.IC,,IS,OMXI,Real Estate,true
Hagar,HAGA.IC,,IS,OMXI,Consumer Staples,true
Hampidjan,HAMP.IC,,IS,OMXI,Consumer Discretionary,true
Icelandair Group,ICEAIR.IC,,IS,OMXI,Industrials,true
Islandsbanki,ISB.IC,,IS,OMXI,Financials,true
Kvika Banki,KVIKA.IC,,IS,OMXI,Financials,true
Nova Klubburinn,NOVA.IC,,IS,OMXI,Communication Services,true
Origo,ORIGO.IC,,IS,OMXI,Technology,false
Reginn,REGINN.IC,,IS,OMXI,Real Estate,false
Reitir fasteignafelag,REITIR.IC,,IS,OMXI,Real Estate,true
Sildarvinnslan,SVN.IC,,IS,OMXI,Consumer Staples,true
Siminn,SIMINN.IC,,IS,OMXI,Communication Services,true
Skel fjarfestingafelag,SKEL.IC,,IS,OMXI,Financials,true
Solid Clouds,SOLID.IC,,IS,OMXI,Technology,true
Syn,SYN.IC,,IS,OMXI,Communication Services,true
ABG Sundal Collier,ABG.OL,,NO,OSLO,Financials,true
Akastor,AKAST.OL,,NO,OSLO,Energy,true
ArcticZymes Technologies,AZT.OL,,NO,OSLO,Health Care,true
Atlantic Sapphire,ASA.OL,,NO,OSLO,Consumer Staples,true
Avance Gas Holding,AGAS.OL,,NO,OSLO,Energy,false
BW Energy,BWE.OL,,NO,OSLO,Energy,true
BW LPG,BWLPG.OL,,NO,OSLO,Energy,true
BW Offshore,BWO.OL,,NO,OSLO,Energy,true
Belships,BELCO.OL,,NO,OSLO,Industrials,false
Bonheur,BONHR.OL,,NO,OSLO,Industrials,true
Borr Drilling,BORR.OL,,NO,OSLO,Energy,true
Crayon Group Holding,CRAYN.OL,,NO,OSLO,Technology,false
DNO,DNO.OL,,NO,OSLO,Energy,true
DOF Group,DOFG.OL,,NO,OSLO,Energy,true
Elmera Group,ELMRA.OL,,NO,OSLO,Utilities,true
Fjordkraft Holding,FKRAFT.OL,,NO,OSLO,Utilities,false
Flex LNG,FLNG.OL,,NO,OSLO,Energy,false
Hafnia,HAFNI.OL,,NO,OSLO,Energy,true
Hexagon Composites,HEX.OL,,NO,OSLO,Industrials,true
Hexagon Purus,HPUR.OL,,NO,OSLO,Industrials,true
Höegh Autoliners,HAUTO.OL,,NO,OSLO,Industrials,true
Kid,KID.OL,,NO,OSLO,Consumer Discretionary,true
Kitron,KIT.OL,,NO,OSLO,Technology,true
Komplett Bank,KOMP.OL,,NO,OSLO,Financials,false
Norsk Titanium,NTI.OL,,NO,OSLO,Industrials,true
Norwegian Air Shuttle,NAS.OL,,NO,OSLO,Industrials,true
OKEA,OKEA.OL,,NO,OSLO,Energy,true
